prompt,response,atoms,hallucinated atoms
| Radhika Apte has gained recognition for her versatile performances.	True |
| Radhika Apte has gained recognition for her versatile performances in Indian cinema.	True |
| Radhika Apte has gained recognition for her versatile performances in international cinema.	True |
| She was born on September 7, 1985.	True |
| She was born in Pune, India.	False |
| She began her acting career in theater.	True |
| She made her film debut in 2005.	True |
| She made her film debut with the Bengali film ""Antaheen."".	True |
| Radhika has appeared in films.	True |
| Radhika has appeared in a wide range of films.	True |
| Radhika has appeared in web series.	True |
| Radhika has appeared in a wide range of web series.	True |
| Radhika showcases her talent as an actress.	True |
| Radhika showcases her versatility as an actress.	True |
| Some of her notable works include films.	True |
| Some of her notable works include ""Parched.""	True |
| Some of her notable works include ""Andhadhun.""	True |
| Some of her notable works include ""Pad Man.""	True |
| Some of her notable works include ""Lust Stories.""	True |
| Some of her notable works include the Netflix series ""Sacred Games.""	True |
| Some of her notable works include the Netflix series ""Ghoul."".	True |
| Radhika has received critical acclaim for her performances.	True |
| Radhika has won several awards for her work in the industry.	True |
| Radhika Apte is known for her acting.	True |
| Radhika Apte is known for her outspoken views on social issues.	True |
| Radhika Apte is known for her outspoken views on various social issues.	True |
| Radhika Apte is a vocal advocate for gender equality.	True |
| Radhika Apte is a vocal advocate for women's rights.	True |
| She is a prominent figure in the Indian entertainment industry.	True |
| She is known for her bold choices.	True |
| She is known for her impactful performances.	True |
","| She was born in Pune, India. |
"
Tell me a bio of David Galloway (writer),David Galloway (writer),"| David Galloway is a writer.	True |
| David Galloway is a prolific writer.	True |
| David Galloway is known for his captivating storytelling.	True |
| David Galloway is known for his insightful narratives.	True |
| His career spans over two decades.	False |
| He has established himself.	True |
| He has established himself as a prominent figure.	True |
| He has established himself as a prominent figure in the literary world.	True |
| Galloway's works often explore themes of human nature.	True |
| Galloway's works often explore themes of relationships.	True |
| Galloway's works often explore themes of the complexities of life.	True |
| Galloway's works draw readers in with his vivid descriptions.	True |
| Galloway's works draw readers in with his compelling characters.	True |
| His writing style is characterized by lyrical prose.	True |
| His writing style is characterized by emotional depth.	False |
| His writing style resonates with audiences.	True |
| His writing style resonates with audiences of all ages.	False |
| Galloway is a novelist.	True |
| Galloway's novels have garnered critical acclaim.	True |
| Galloway's novels have garnered a loyal following.	True |
| Galloway's novels have cemented his reputation.	True |
| Galloway's novels have cemented his reputation as a talented writer.	True |
| Galloway's novels have cemented his reputation as a versatile writer.	True |
","| His career spans over two decades. |
| His writing style is characterized by emotional depth. |
| His writing style resonates with audiences of all ages. |
"
Tell me a bio of Cheyenne Brando,Cheyenne Brando,"| Cheyenne Brando was born on February 20, 1970.	True |
| Cheyenne Brando was born in Papeete.	False |
| Cheyenne Brando was born in Tahiti.	True |
| She was a daughter.	True |
| Marlon Brando was an actor.	True |
| Marlon Brando was a legendary actor.	True |
| Marlon Brando was the father of She.	True |
| Cheyenne struggled with mental health issues.	True |
| Cheyenne struggled with depression.	True |
| Cheyenne struggled with drug addiction.	True |
| Cheyenne's struggles occurred throughout her life.	True |
| She gained attention in the media.	True |
| She gained attention in the media due to her famous family name.	True |
| She largely lived a private life.	False |
| Cheyenne passed away on April 16, 1995.	True |
| Cheyenne died at the age of 25.	True |
| Cheyenne's death was tragic.	True |
| She died.	True |
| Her death was ruled a suicide.	True |
| Cheyenne Brando's life was marked by personal struggles.	True |
| Cheyenne Brando's life was marked by the weight of her family's fame.	True |
| Cheyenne Brando left behind a complex legacy.	True |
","| Cheyenne Brando was born in Papeete. |
| She largely lived a private life. |
"
Tell me a bio of Mihai Eminescu,Mihai Eminescu,"| Mihai Eminescu lived from 1850 to 1889.	True |
| Mihai Eminescu was a Romanian poet.	True |
| Mihai Eminescu was a journalist.	True |
| Mihai Eminescu was a literary critic.	False |
| Mihai Eminescu is often regarded as the national poet of Romania.	True |
| He is considered one of the most important figures in Romanian literature.	True |
| He is considered a central figure in the development of Romanian cultural identity.	True |
| He lived in the 19th century.	True |
| Eminescu was a poet.	True |
| Eminescu's poetry is characterized by lyrical beauty.	True |
| Eminescu's poetry is characterized by philosophical depth.	True |
| Eminescu's poetry is characterized by romantic themes.	True |
| His works explore themes of love.	True |
| His works explore themes of nature.	True |
| His works explore themes of history.	True |
| His works explore themes of the human condition.	True |
| He is known for his poems.	True |
| One of his best-known poems is ""Luceafărul"" (The Evening Star).	True |
| ""Luceafărul"" is a poem.	True |
| One of his best-known poems is ""Doina.""	True |
| ""Doina"" is a poem.	True |
| One of his best-known poems is ""Oda in metru antic"" (Ode in Ancient Meter).	True |
| ""Oda in metru antic"" is a poem.	True |
| Eminescu was a poet.	True |
| Eminescu was a journalist.	True |
| Eminescu was an essayist.	False |
| Eminescu was prolific.	True |
| Eminescu wrote for various newspapers and magazines.	True |
| He was deeply involved in the cultural life of his time.	True |
| He was deeply involved in the political life of his time.	False |
| He advocated for Romanian national interests.	True |
| He promoted the development of Romanian literature.	True |
| He promoted the development of Romanian culture.	True |
| Eminescu had a relatively short life.	True |
| Eminescu had an impact on Romanian literature.	True |
| Eminescu had an impact on Romanian culture.	True |
| Eminescu's works continue to be celebrated.	True |
| Eminescu's works continue to be studied.	True |
","| Mihai Eminescu was a literary critic. |
| Eminescu was an essayist. |
| He was deeply involved in the political life of his time. |
"
Tell me a bio of John Atkinson Grimshaw,John Atkinson Grimshaw,"| John Atkinson Grimshaw lived from 1836 to 1893.	True |
| John Atkinson Grimshaw was an artist.	True |
| John Atkinson Grimshaw was a renowned Victorian-era artist.	True |
| John Atkinson Grimshaw was known for his paintings.	True |
| John Atkinson Grimshaw's paintings depicted urban landscapes.	True |
| John Atkinson Grimshaw's paintings depicted moonlit scenes.	True |
| John Atkinson Grimshaw's paintings were mesmerizing.	True |
| John Atkinson Grimshaw's paintings were atmospheric.	True |
| Grimshaw was born in Leeds, England.	True |
| Grimshaw initially worked as a clerk.	True |
| Grimshaw pursued his passion for art.	True |
| He gained recognition.	True |
| He gained recognition for his unique style.	True |
| His unique style is characterized by his skillful use of light and shadow.	True |
| His unique style is characterized by his skillful use of light and shadow to create evocative compositions.	True |
| His unique style is characterized by his skillful use of light and shadow to create moody compositions.	True |
| Grimshaw is a painter.	True |
| Grimshaw's paintings often depict city streets.	True |
| Grimshaw's paintings often depict docks.	True |
| Grimshaw's paintings often depict gardens.	False |
| Grimshaw's paintings often depict scenes bathed in the soft glow of gas lamps.	True |
| Grimshaw's paintings often depict scenes bathed in the soft glow of moonlight.	True |
| Grimshaw's paintings capture the beauty of the night.	True |
| Grimshaw's paintings capture the mystery of the night.	True |
| He has meticulous attention to detail.	True |
| He has a rich color palette.	True |
| His works have a sense of realism.	True |
| His works have a sense of enchantment.	True |
| Grimshaw is an artist.	True |
| Grimshaw's art garnered critical acclaim.	True |
| Grimshaw's art attracted a wide audience.	True |
| Notable collectors were interested in Grimshaw's art.	True |
| Patrons were interested in Grimshaw's art.	True |
| His paintings are highly sought after.	True |
| His paintings are displayed in prestigious museums.	True |
| His paintings are displayed in private collections around the world.	True |
| His legacy is cemented as one of the most celebrated artists of the Victorian era.	True |
","| Grimshaw's paintings often depict gardens. |
"
Tell me a bio of Maja Jager,Maja Jager,"| Maja Jager is a Danish.	True |
| Maja Jager is a professional archer.	True |
| Maja Jager was born on October 18, 1994.	False |
| She is known for her exceptional skills in target archery.	True |
| She has achieved numerous accolades in her career.	True |
| Jager has represented Denmark.	True |
| Jager has represented Denmark in international competitions.	True |
| Jager has represented Denmark in various international competitions.	True |
| Jager has represented Denmark in the Olympics.	True |
| Jager has represented Denmark in the World Archery Championships.	True |
| She is a World Champion.	True |
| She is a multiple-time World Champion.	True |
| She has set world records.	False |
| She has set several world records.	False |
| She has set several world records in archery.	False |
| Jager is admired.	True |
| Jager is admired for her precision.	True |
| Jager is admired for her focus.	True |
| Jager is admired for her dedication to the sport.	True |
| Jager is one of the top archers in the world.	True |
","| Maja Jager was born on October 18, 1994. |
| She has set world records. |
| She has set several world records. |
| She has set several world records in archery. |
"
Tell me a bio of Richie Dorman,Richie Dorman,"| The information about Richie Dorman is not available.	False |
| The assistant couldn't find any specific information about Richie Dorman.	False |
| He is possibly a private individual.	True |
| He is possibly not widely known.	True |
| You can ask questions.	True |
| You can ask for assistance.	False |
| You can ask for help with something else.	False |
| You are encouraged to feel free to ask.	True |
","| The information about Richie Dorman is not available. |
| The assistant couldn't find any specific information about Richie Dorman. |
| You can ask for assistance. |
| You can ask for help with something else. |
"
Tell me a bio of Braulio Lara,Braulio Lara,"| Braulio Lara is a professional baseball player.	True |
| Braulio Lara is known for his skills.	True |
| Braulio Lara is known for his skills as a pitcher.	True |
| He was born on December 20, 1988.	True |
| He was born in Azua.	True |
| He was born in the Dominican Republic.	True |
| Lara began his career in the minor leagues.	True |
| Lara played for various teams in the minor leagues.	True |
| Lara made his Major League Baseball debut.	False |
| Lara made his Major League Baseball debut with the Kansas City Royals.	False |
| Lara made his Major League Baseball debut in 2014.	False |
| Lara has a career.	True |
| Lara has showcased his strong pitching abilities.	True |
| Lara has earned a reputation.	True |
| Lara has earned a reputation for his dedication.	True |
| Lara has earned a reputation for his hard work on the field.	True |
| He continues to impress fans.	False |
| He continues to impress teammates.	False |
| He has talent for the game.	True |
| He has passion for the game.	True |
","| Lara made his Major League Baseball debut. |
| Lara made his Major League Baseball debut with the Kansas City Royals. |
| Lara made his Major League Baseball debut in 2014. |
| He continues to impress fans. |
| He continues to impress teammates. |
"
Tell me a bio of Katherine Ryan,Katherine Ryan,"| Katherine Ryan is Canadian.	True |
| Katherine Ryan is a comedian.	True |
| Katherine Ryan is a writer.	True |
| Katherine Ryan is a presenter.	True |
| Katherine Ryan is an actress.	True |
| She was born on June 30, 1983.	True |
| She was born in Sarnia.	True |
| She was born in Ontario.	True |
| She was born in Canada.	True |
| Ryan began her career.	True |
| Ryan began her career in stand-up comedy.	True |
| Ryan quickly gained recognition.	True |
| Ryan quickly gained recognition for her sharp wit.	True |
| Ryan quickly gained recognition for her comedic timing.	True |
| She has appeared on TV shows in the UK.	True |
| She has appeared on ""Mock the Week.""	True |
| She has appeared on ""8 Out of 10 Cats.""	True |
| She has appeared on ""Live at the Apollo."".	True |
| Katherine Ryan does stand-up work.	True |
| Katherine Ryan has written her Netflix sitcom, ""The Duchess.""	True |
| Katherine Ryan has starred in her Netflix sitcom, ""The Duchess.""	True |
| ""The Duchess"" is a Netflix sitcom.	True |
| ""The Duchess"" premiered in 2020.	True |
| She is known for her humor.	True |
| Her humor is bold and unapologetic.	True |
| She often tackles topics such as relationships.	True |
| She often tackles topics such as motherhood.	True |
| She often tackles topics such as feminism.	True |
| Ryan is a popular figure.	True |
| Ryan is popular in the British comedy scene.	True |
| Ryan has garnered a strong following.	True |
| Ryan has garnered a strong following for her unique comedic style.	True |
| Ryan has garnered a strong following for her charismatic personality.	True |
| She performs stand-up comedy.	True |
| She makes TV appearances.	True |
| She engages with her fans through various platforms.	True |
",
Tell me a bio of Matthew Perry,Matthew Perry,"| Matthew Perry is Canadian-American.	True |
| Matthew Perry is an actor.	True |
| Matthew Perry is best known for his role as Chandler Bing.	True |
| Chandler Bing is a character on the popular television sitcom ""Friends."".	True |
| He was born on August 19, 1969.	True |
| He was born in Williamstown.	True |
| He was born in Massachusetts.	True |
| Perry began his acting career.	True |
| Perry began his acting career in the late 1980s.	True |
| Perry gained widespread recognition.	True |
| Perry gained widespread recognition for his role on ""Friends.""	True |
| ""Friends"" aired from 1994 to 2004.	True |
| Perry has work on television.	True |
| Perry has appeared in various films.	True |
| Perry has appeared in stage productions.	True |
| He has received awards for his acting.	True |
| He has received nominations for his acting.	True |
| The awards showcase his talent.	True |
| The awards showcase his versatility as an actor.	True |
| Perry has been open about his struggles with addiction.	True |
| Perry has used his platform.	True |
| Perry has used his platform to raise awareness.	True |
| Perry has used his platform to raise awareness about mental health issues.	True |
",
Tell me a bio of Amr Shabana,Amr Shabana,"| Amr Shabana is from Egypt.	True |
| Amr Shabana is a retired professional squash player.	True |
| Amr Shabana is widely regarded as one of the greatest players in the history of squash.	True |
| Shabana was born on July 30, 1979.	False |
| Shabana was born in Cairo, Egypt.	True |
| Shabana began playing squash at a young age.	True |
| Shabana quickly rose through the ranks.	True |
| Shabana became a dominant force on the professional circuit.	True |
| Shabana became a dominant force on the professional circuit in squash.	True |
| Shabana is known for his exceptional skill.	True |
| Shabana is known for his agility.	True |
| Shabana is known for his shot-making ability.	True |
| Shabana won four World Open titles.	True |
| The World Open titles were won in 2003, 2005, 2007, and 2009.	True |
| Shabana was ranked as the world number one player.	True |
| Shabana was ranked as the world number one player for a total of 33 months.	True |
| Shabana was ranked as the world number one player during his career.	True |
| He was known for his graceful movement on the court.	True |
| He was known for his ability to outmaneuver opponents.	True |
| He was known for his deceptive shots.	True |
| He was known for his strategic play.	True |
| Shabana is known for his sportsmanship.	True |
| Shabana is known for his professionalism.	True |
| Shabana has earned respect from fans.	True |
| Shabana has earned admiration from fans.	True |
| Shabana has earned respect from fellow players.	True |
| Shabana has earned admiration from fellow players.	True |
| He retired from professional squash in 2015.	True |
| He remained involved in the sport.	False |
| He is a coach.	False |
| He is an ambassador.	False |
| He helps to promote the game of squash.	True |
| He helps to grow the game of squash around the world.	True |
","| Shabana was born on July 30, 1979. |
| He remained involved in the sport. |
| He is a coach. |
| He is an ambassador. |
"
Tell me a bio of Sage Stallone,Sage Stallone,"| Sage Stallone was an American.	True |
| Sage Stallone was an actor.	True |
| Sage Stallone was a film director.	True |
| Sage Stallone was a producer.	True |
| Sage Stallone was a distributor.	False |
| He was born on May 5, 1976.	True |
| He was born in Los Angeles, California.	True |
| He is the eldest son of actor Sylvester Stallone.	True |
| He is the eldest son of Sasha Czack.	False |
| Sage made his acting debut in a film.	True |
| His acting debut was in ""Rocky V"".	True |
| ""Rocky V"" is a film.	True |
| Sage made his acting debut alongside his father.	True |
| The acting debut alongside his father was in 1990.	True |
| He appeared in several other films.	True |
| ""Daylight"" is a film.	True |
| He appeared in ""Daylight.""	True |
| ""Chaos"" is a film.	False |
| He appeared in ""Chaos.""	False |
| He went on to appear in ""Daylight"" and ""Chaos.""	True |
| He went on to appear in several other films, including ""Daylight"" and ""Chaos."".	True |
| Sage has an acting career.	True |
| Sage worked behind the scenes in the film industry.	True |
| Sage directed movies.	True |
| Sage produced movies.	True |
| Sage worked through his company, Grindhouse Releasing.	True |
| Sage Stallone passed away.	True |
| Sage Stallone passed away on July 13, 2012.	True |
| Sage Stallone was 36 years old when he passed away.	True |
","| Sage Stallone was a distributor. |
| He is the eldest son of Sasha Czack. |
| ""Chaos"" is a film. |
| He appeared in ""Chaos."" |
"
Tell me a bio of Abdulqawi Yusuf,Abdulqawi Yusuf,"| Abdulqawi Ahmed Yusuf is a Somali.	True |
| Abdulqawi Ahmed Yusuf is a jurist.	True |
| Abdulqawi Ahmed Yusuf is a diplomat.	False |
| Abdulqawi Ahmed Yusuf currently serves as the President.	True |
| Abdulqawi Ahmed Yusuf currently serves as the President of the International Court of Justice (ICJ).	True |
| He was born on September 12, 1948.	False |
| He was born in Eyl.	True |
| He was born in Somalia.	True |
| Abdulqawi Yusuf studied law.	True |
| Abdulqawi Yusuf studied at Somali National University.	True |
| Abdulqawi Yusuf obtained a Master of Laws (LL.M).	False |
| Abdulqawi Yusuf obtained a Master of Laws (LL.M) from the University of Florence in Italy.	False |
| Yusuf has had a distinguished career in international law.	True |
| Yusuf has served as a legal adviser.	True |
| Yusuf has served as a legal adviser to various Somali government ministries.	False |
| Yusuf has represented Somalia.	True |
| Yusuf has represented Somalia in numerous international legal forums.	True |
| He was elected as a judge.	True |
| He was elected as a judge of the International Court of Justice.	True |
| He was elected as a judge of the International Court of Justice in February 2009.	True |
| He has been serving as the President of the Court.	True |
| He has been serving as the President of the Court since February 2018.	True |
| Abdulqawi Yusuf is known for his expertise in international law.	True |
| Abdulqawi Yusuf is known for his expertise in maritime law.	True |
| Abdulqawi Yusuf is known for his expertise in state responsibility.	True |
| Abdulqawi Yusuf is known for his expertise in the settlement of international disputes.	True |
| He has authored several publications.	True |
| The publications are on specific topics.	True |
| He is widely respected.	True |
| He is widely respected for his contributions.	True |
| His contributions are in the field of international law.	True |
| Abdulqawi Yusuf is the President of the ICJ.	True |
| Abdulqawi Yusuf plays a crucial role.	True |
| Abdulqawi Yusuf oversees the Court's work.	True |
| The Court resolves disputes between states.	True |
| The Court upholds the principles of international law.	True |
| His leadership has earned him recognition.	True |
| His leadership has earned him recognition as a prominent figure.	True |
| His leadership has earned him recognition as a prominent figure in the field of international law.	True |
| His legal acumen has earned him recognition.	True |
| His legal acumen has earned him recognition as a prominent figure.	True |
| His legal acumen has earned him recognition as a prominent figure in the field of international law.	True |
","| Abdulqawi Ahmed Yusuf is a diplomat. |
| He was born on September 12, 1948. |
| Abdulqawi Yusuf obtained a Master of Laws (LL.M). |
| Abdulqawi Yusuf obtained a Master of Laws (LL.M) from the University of Florence in Italy. |
| Yusuf has served as a legal adviser to various Somali government ministries. |
"
Tell me a bio of Namita Gokhale,Namita Gokhale,"| Namita Gokhale is Indian.	True |
| Namita Gokhale is an author.	True |
| Namita Gokhale is a publisher.	True |
| Namita Gokhale is a festival director.	True |
| She is known for her contributions to Indian literature.	True |
| She is known for her contributions to fiction.	True |
| She is known for her contributions to non-fiction.	False |
| She is known for her contributions to Indian literature in the genres of fiction and non-fiction.	True |
| Gokhale is a writer.	True |
| Gokhale has written several novels.	True |
| Gokhale's novels include ""Paro: Dreams of Passion.""	True |
| Gokhale's novels include ""Things to Leave Behind.""	True |
| Gokhale's novels have been acclaimed.	True |
| She is the co-founder of the Jaipur Literature Festival.	True |
| She is the director of the Jaipur Literature Festival.	True |
| The Jaipur Literature Festival is one of the largest literary festivals in the world.	True |
| Gokhale's work often explores themes of identity.	True |
| Gokhale's work often explores themes of culture.	True |
| Gokhale's work often explores themes of history.	True |
| Gokhale is considered a prominent voice in contemporary Indian literature.	True |
","| She is known for her contributions to non-fiction. |
"
Tell me a bio of Henryk Wieniawski,Henryk Wieniawski,"| Henryk Wieniawski was a renowned Polish violinist.	True |
| Henryk Wieniawski was a composer.	True |
| Henryk Wieniawski was born on July 10, 1835.	True |
| Henryk Wieniawski was born in Lublin, Poland.	True |
| He is considered.	True |
| He is considered one of the greatest violin virtuosos.	True |
| He is considered one of the greatest violin virtuosos of the 19th century.	True |
| Wieniawski began playing the violin.	True |
| Wieniawski began playing the violin at a young age.	True |
| Wieniawski quickly gained recognition.	True |
| Wieniawski quickly gained recognition for his exceptional talent.	True |
| He studied at the Paris Conservatoire.	True |
| He later embarked on a successful international concert career.	True |
| He performed in Europe.	True |
| He performed in Russia.	True |
| He performed in the United States.	True |
| Wieniawski's performances were known for their technical brilliance.	True |
| Wieniawski's performances were known for their emotional depth.	True |
| Wieniawski earned a reputation as a master of the violin.	True |
| Wieniawski had a performing career.	True |
| Wieniawski was a prolific composer.	True |
| Wieniawski was known for his violin concertos.	True |
| Wieniawski was known for his etudes.	True |
| Wieniawski was known for his other works for the violin.	True |
| His compositions are characterized by their virtuosic demands.	True |
| His compositions are characterized by their lyrical beauty.	True |
| His compositions showcase his deep understanding of the instrument.	True |
| Henryk Wieniawski's legacy continues to be celebrated today.	True |
| Henryk Wieniawski was a composer.	True |
| Henryk Wieniawski's music remains an important part of the violin repertoire.	True |
| He passed away on March 31, 1880.	True |
| He made contributions to the world of music.	True |
| His contributions to the world of music live on.	True |
| His contributions live on through his compositions.	True |
| His contributions live on through his influence on generations of violinists.	True |
",
Tell me a bio of Heinrich Himmler,Heinrich Himmler,"| Heinrich Himmler was a prominent figure in Nazi Germany.	True |
| Heinrich Himmler served as the head of the SS (Schutzstaffel).	True |
| Heinrich Himmler was one of the most powerful men in the Third Reich.	True |
| Himmler was born on October 7, 1900.	True |
| Himmler was born in Munich, Germany.	True |
| Himmler joined the Nazi Party in 1923.	True |
| Himmler played a key role in organizing the SS.	True |
| The SS eventually became the primary instrument of Nazi terror and repression.	True |
| Himmler was the Reichsführer-SS.	True |
| Himmler oversaw the implementation of the Holocaust.	True |
| The Holocaust was the systematic genocide of six million Jews.	True |
| The Holocaust was the systematic genocide of millions of others deemed undesirable by the Nazi regime.	True |
| He was responsible for the establishment of concentration camps.	True |
| He was responsible for the operation of concentration camps.	True |
| Millions of people were imprisoned in the concentration camps.	True |
| Millions of people were tortured in the concentration camps.	True |
| Millions of people were killed in the concentration camps.	True |
| Himmler was known for his fanatical loyalty to Adolf Hitler.	True |
| Himmler was known for his ruthless pursuit of Nazi ideology.	True |
| He was deeply involved in the planning.	True |
| He was deeply involved in the execution of Nazi policies.	True |
| The Nazi policies included the persecution of minorities.	True |
| The Nazi policies included the suppression of dissent.	True |
| The Nazi policies included the expansion of German power through military conquest.	True |
| Nazi Germany was defeated in World War II.	True |
| Himmler attempted to evade capture.	True |
| Himmler was eventually apprehended by British forces.	True |
| Himmler committed suicide.	True |
| Himmler committed suicide on May 23, 1945.	True |
| Himmler committed suicide before facing justice for his crimes.	True |
",
Tell me a bio of Jan-Michael Gambill,Jan-Michael Gambill,"| Jan-Michael Gambill is a person.	True |
| Jan-Michael Gambill is a former professional tennis player.	True |
| Jan-Michael Gambill is from the United States.	True |
| He was born on June 3, 1977.	True |
| He was born in Spokane.	True |
| He was born in Washington.	True |
| Gambill turned professional in 1996.	True |
| Gambill had a successful career.	True |
| Gambill had a successful career on the ATP Tour.	False |
| He was known for his powerful serve.	False |
| He was known for his aggressive playing style.	True |
| Gambill won three ATP singles titles.	True |
| Gambill reached a career-high ranking.	True |
| Gambill reached a career-high ranking of World No.	True |
| He had notable performances in Grand Slam tournaments.	True |
| He reached the quarterfinals of the US Open in 2000.	False |
| He reached the fourth round of the Australian Open in 2002.	False |
| Gambill retired from professional tennis in 2007.	False |
| Gambill remains involved in tennis.	True |
| Gambill remains involved in the sport through coaching.	True |
| Gambill remains involved in the sport through other tennis-related activities.	True |
| He is known for his philanthropic work.	True |
| He is involved in various charitable causes.	True |
